x,y
403,0.666666667
404,0.333333333
405,0.333333333
406,0.666666667
407,0.333333333
408,0.333333333
409,0.333333333
410,0.333333333
411,0.666666667
412,0.333333333
413,0.333333333
414,0.333333333
415,0.333333333
416,0.666666667
417,0.666666667
418,0.666666667
419,1.333333333
420,1
421,0.666666667
422,0.333333333
423,0.333333333
424,0.333333333
425,0.666666667
426,0.333333333
427,0.333333333
428,0.333333333
429,0.333333333
430,0.666666667
431,0.333333333
432,0.333333333
433,0.666666667
434,1.333333333
435,0.666666667
436,1
437,0.333333333
438,0.333333333
439,0.333333333
440,0.333333333
441,1
442,0.666666667
443,0.333333333
444,0.333333333
445,0.666666667
446,0.666666667
447,0.333333333
448,0.333333333
449,0.333333333
450,0.666666667
451,0.333333333
452,0.333333333
453,0.333333333
454,0.666666667
455,0.666666667
456,0.666666667
457,1.333333333
458,1
459,0.333333333
460,0.333333333
461,0.333333333
462,0.333333333
463,0.333333333
464,0.333333333
465,0.333333333
466,0.333333333
467,0.333333333
468,0.333333333
469,0.333333333
470,0.333333333
471,0.333333333
472,0.333333333
473,0.333333333
474,0.333333333
475,0.666666667
476,0.333333333
477,1.333333333
478,0.333333333
479,0.333333333
480,1
481,1
482,1.333333333
483,1
484,0.333333333
485,0.666666667
486,1
487,0.333333333
488,0.666666667
489,0.666666667
490,0.333333333
491,0.666666667
492,0.333333333
493,0.333333333
494,0.666666667
495,0.333333333
496,0.333333333
497,0.333333333
498,0.333333333
499,0.333333333
500,0.666666667
501,3.666666667
502,1
503,0.666666667
504,0.333333333
505,1.333333333
506,0.333333333
507,1
508,1
509,0.333333333
510,0.333333333
511,0.333333333
512,0.666666667
513,0.666666667
514,0.333333333
515,1.333333333
516,0.666666667
517,1.666666667
518,0.666666667
519,1.666666667
520,0.333333333
521,1.666666667
522,0.333333333
523,0.333333333
524,0.666666667
525,0.666666667
526,2.666666667
527,2.333333333
528,2.666666667
529,0.333333333
530,0.333333333
531,1.333333333
532,2.666666667
533,1
534,0.666666667
535,0.666666667
536,2.666666667
537,3
538,2
539,0.333333333
540,0.333333333
541,0.333333333
542,0.666666667
543,0.666666667
544,0.666666667
545,1.333333333
546,1
547,1
548,1
549,1
550,0.666666667
551,0.333333333
552,0.333333333
553,0.666666667
554,0.333333333
555,1.333333333
556,1
557,1.333333333
558,0.333333333
559,0.333333333
560,2.333333333
561,1.666666667
562,1
563,0.333333333
564,0.333333333
565,1
566,1.666666667
567,1.666666667
568,0.666666667
569,0.333333333
570,1.333333333
571,0.666666667
572,0.666666667
573,1
574,1
575,1.666666667
576,0.666666667
577,1.333333333
578,1
579,1
580,1.333333333
581,1.666666667
582,2.666666667
583,0.666666667
584,0.333333333
585,0.666666667
586,0.333333333
587,1.666666667
588,1.333333333
589,1.666666667
590,0.333333333
591,0.333333333
592,1
593,1.666666667
594,0.333333333
595,0.333333333
596,1
597,1.333333333
598,1
599,0.666666667
600,1.333333333
601,1.333333333
602,1.333333333
603,1.333333333
604,0.666666667
605,0.666666667
606,0.333333333
607,1.333333333
608,1.333333333
609,1.333333333
610,0.666666667
611,0.666666667
612,0.333333333
613,0.666666667
614,1
615,0.333333333
616,0.333333333
617,1.333333333
618,1.666666667
619,1
620,0.333333333
621,0.666666667
622,0.666666667
623,1
624,0.333333333
625,1
626,0.333333333
627,2.333333333
628,1
629,0.333333333
